t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
11,0,global_dijkstra,8,9,8,9,1,96,0,0,9.08419229574109,0.0159088062360176,0.993090943251678,999,2.82232538016269,1,0
11,0,global_dijkstra,10,9,10,9,1,96,0,0,8.88167787843871,0.128672777872972,0.979559266655243,999,2.72036371322068,1,0
12,0,global_dijkstra,1,4,1,6,1,94,0,0,7.86554103664485,0.00507681969276421,0.994390781636868,999,-0.105975062258502,0,0
12,0,global_dijkstra,5,19,5,6,1,94,0,1,8.13445896335515,0.0231809656089166,0.99221828412693,999,-0.16519425741245,0,0
12,0,global_dijkstra,6,18,6,12,1,94,0,0,10.0720742786083,0.00332644773011719,0.994600826272386,9,-0.396243536307484,0,0
12,0,global_dijkstra,9,16,9,10,1,94,0,16,8.65082560867634,0.0762700278301344,0.985847596660384,999,-0.660449784193066,0,0
12,0,global_dijkstra,16,6,16,10,1,94,0,17,10.0080514120095,0.0201241161832422,0.992585106058011,8,-0.904878164308841,0,0
12,0,global_dijkstra,11,17,11,17,1,94,0,0,10.0720742786083,0.0194740348773438,0.992663115814719,9,2.58770576206817,1,0
12,0,global_dijkstra,15,9,15,9,1,94,0,0,10.0080514120095,0.0289036511002653,0.991531561867968,7,2.52915291449157,1,0
12,0,global_dijkstra,15,9,15,9,1,94,0,0,10.0080514120095,0.0389036511002653,0.990331561867968,7,2.51921291449157,1,0
12,0,global_dijkstra,1,9,1,2,1,94,0,0,9.08419229574109,0.00122847849298013,0.994852582580842,999,-0.163082374060728,0,0
12,0,global_dijkstra,22,9,22,21,1,94,0,0,8.65082560867634,0.00739972746132813,0.994112032704641,999,-0.147548261182029,0,0
12,0,global_dijkstra,22,9,22,21,1,94,0,1,8.65082560867634,0.0173997274613281,0.992912032704641,999,-0.185266038959806,0,0
12,0,global_dijkstra,5,9,5,4,1,94,0,0,8.39905526835001,0.0188867657490831,0.99273358811011,999,-0.146377860223741,0,0
12,0,global_dijkstra,10,9,10,9,1,94,0,0,8.65082560867634,0.0962700278301344,0.983447596660384,999,2.76411466025138,1,0
12,0,global_dijkstra,22,9,22,21,1,94,0,2,8.65082560867634,0.0273997274613281,0.991712032704641,999,-0.222983816737584,0,0
12,0,global_dijkstra,11,9,11,10,1,94,0,19,8.39905526835001,0.0593521630681197,0.987877740431826,999,-0.714378242936641,0,0
12,0,global_dijkstra,11,9,11,10,1,94,0,20,8.39905526835001,0.0693521630681197,0.986677740431826,999,-0.752096020714419,0,0
12,0,global_dijkstra,18,9,18,17,1,94,0,0,8.13445896335515,0.0182094965658418,0.992814860412099,999,-0.132474839405856,0,0
12,0,global_dijkstra,4,9,4,10,1,94,0,21,10.0080514120095,0.0234399096571105,0.992187210841147,7,-1.04874945984726,0,0
13,0,global_dijkstra,21,1,21,20,1,92,0,0,8.65082560867634,0.00712317187338448,0.994145219375194,999,-0.147273364927613,0,0
13,0,global_dijkstra,2,10,2,3,1,92,0,0,8.65082560867634,0.00690257425162833,0.994171691089805,999,-0.147054090891587,0,0
13,0,global_dijkstra,6,13,6,1,1,92,0,0,7.60094473164999,0.0137922508310203,0.993344929900278,999,-0.101408385560185,0,0
13,0,global_dijkstra,4,16,4,10,1,92,0,19,10.0080514120095,0.0183919503114107,0.992792965962631,7,-0.988176232702082,0,0
13,0,global_dijkstra,13,20,13,14,1,92,0,0,8.88167787843871,0.00527398655521856,0.994367121613374,999,-0.156977888209474,0,0
13,0,global_dijkstra,7,5,7,12,1,92,0,0,7.60094473164999,0.00445050316197134,0.994465939620563,999,-0.0921226883771505,0,0
13,0,global_dijkstra,13,9,13,14,1,92,0,1,8.88167787843871,0.0152739865552186,0.993167121613374,999,-0.194695665987252,0,0
13,0,global_dijkstra,6,9,6,5,1,92,0,0,7.86554103664485,0.0237495310849041,0.992150056269811,999,-0.124535737382289,0,0
