episode,phase,scenario,status,delivered,dropped,hops,total_reward,control_overhead_ratio
346,train,low_load,ttl_exceeded,0,1,12,-15.277151339022346,0.01064
347,train,medium_load,no_valid_action,0,1,11,-12.267175661067975,0.010690909090909091
348,train,hotspot_high_load,ttl_exceeded,0,1,12,-17.615771367556476,0.01064
349,train,frequent_break,no_valid_action,0,1,7,-7.517676543633434,0.010752
350,train,fault_links,delivered,1,0,1,1.3708711561140938,0.010752
351,train,low_load,delivered,1,0,9,-8.555672564418291,0.010752
352,train,medium_load,ttl_exceeded,0,1,12,-16.660560669926138,0.01064
353,train,hotspot_high_load,delivered,1,0,10,-9.209505268930025,0.0107296
354,train,frequent_break,ttl_exceeded,0,1,12,-17.91844185734515,0.01064
355,train,fault_links,ttl_exceeded,0,1,12,-17.048006633655095,0.01064
356,train,low_load,ttl_exceeded,0,1,12,-17.98143743162374,0.01064
357,train,medium_load,delivered,1,0,8,-6.7399400630579684,0.010752
358,train,hotspot_high_load,delivered,1,0,4,-3.269247559147784,0.010752
359,train,frequent_break,ttl_exceeded,0,1,12,-16.101751090907314,0.01064
360,train,fault_links,delivered,1,0,10,-8.532996504293926,0.0107296
361,train,low_load,ttl_exceeded,0,1,12,-17.206821342522307,0.01064
362,train,medium_load,ttl_exceeded,0,1,12,-16.27114814957349,0.01064
363,train,hotspot_high_load,delivered,1,0,4,-2.906975958321941,0.010752
364,train,frequent_break,delivered,1,0,10,-10.358365332046544,0.0107296
