scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
fault_links,random,average_delay_slots,50,1,50,9.482717392390366,0.8649483004815404,0.0,9.238742565319429,9.709194272639845,0.1206332023407514,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,p95_delay_slots,50,1,50,20.259,2.7161213717583483,0.0,19.505,21.000049999999995,0.38279954559975954,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,mean_queue_packets,50,1,50,2.9935,0.10078015157697,0.0,2.9655555555555555,3.021695138888889,0.01430353817164579,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,routing_switches,50,1,50,247.3,18.393932007427818,0.0,242.33950000000002,252.2605,2.5409962078857373,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,episode_reward,50,1,50,-17.124678519090562,1.612723224232108,0.0,-17.571837929963802,-16.691401256633096,0.22363381540114557,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_delay_cost,50,1,50,0.34223078533048584,0.027947850124369563,0.0,0.3341408470536744,0.3500797263310177,0.003977308510607041,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_queue_cost,50,1,50,0.06959691358024692,0.0023345585312692227,0.0,0.06893456790123456,0.0702395061728395,0.0003300830315212468,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_load_imbalance,50,1,50,0.5460842367468772,0.010526160998048605,0.0,0.5433657829289485,0.549014556270334,0.0014496572726871034,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_switch_cost,50,1,50,0.38002287186746736,0.02768678030072707,0.0,0.3725008425458115,0.38759596434935495,0.003883553543552863,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_throughput_reward,50,1,50,0.052280450564152946,0.008669758882494693,0.0,0.04992141256367061,0.054676673198441356,0.0012111651676433072,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_control_overhead_ratio,50,1,50,0.04166407164058803,0.0007138597549070261,0.0,0.04146911288027588,0.04185181978515957,9.779136712304647e-05,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,random,global_drop_cost,50,1,50,0.07134789851220055,0.008566105312705288,0.0,0.06903680800871306,0.07377312324233949,0.0012080172872398999,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,delivery_ratio,50,1,50,0.14072916666666668,0.04356956333016409,0.0,0.12854166666666667,0.1523958333333333,0.0060693844810011145,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,drop_rate,50,1,50,0.3657291666666667,0.06455907008020005,0.0,0.3484375,0.38343750000000004,0.009050748968346593,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,throughput_packets_per_slot,50,1,50,0.9006666666666667,0.2788452053130502,0.0,0.824,0.98,0.03929594097771873,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,average_delay_slots,50,1,50,8.261995261013512,1.5817921469896907,0.0,7.805445264913597,8.677717344054608,0.21840079302924045,crossed_pigeonhole_bootstrap_percentile,5000,0.95
frequent_break,delay_only,p95_delay_slots,50,1,50,18.477999999999998,3.78663277267575,0.0,17.444924999999998,19.493999999999996,0.5255628142978862,crossed_pigeonhole_bootstrap_percentile,5000,0.95
